# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 24 15:07:14 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_rvamp,sy_dist,sy_gaiamag,rowupdate,pl_pubdate,releasedate
K2-165 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,2.35499200,,1.274,,,134.5910000,11.3272000,2018-02-14,2018-03,2018-02-15
K2-165 c,1,1,3,0,Transit,2018,K2,Published Confirmed,0,4.38274500,,1.554,,,134.5910000,11.3272000,2018-02-14,2018-03,2018-02-15
K2-165 d,1,1,3,0,Transit,2018,K2,Published Confirmed,0,14.10136100,,2.648,,,134.5910000,11.3272000,2018-02-14,2018-03,2018-02-15
K2-166 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,8.52695000,0.085800,2.190,,,476.8820000,11.9456000,2022-03-28,2018-08,2022-03-28
K2-167 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,9.97854100,0.093200,2.365,,,80.8994000,8.1035810,2024-11-20,2023-04,2024-11-20
K2-168 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,15.85230000,,1.860,,,243.9350000,12.0976000,2019-08-09,2019-07,2019-08-15
K2-169 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,6.38080300,,1.273,,,235.8670000,12.0063000,2018-02-14,2018-03,2018-02-15
K2-17 b,1,1,1,0,Transit,2015,K2,Published Confirmed,0,17.96753000,0.119000,2.230,,,125.1060000,13.0023000,2015-07-13,2015-08,2015-07-16
K2-170 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,7.57654400,,1.418,,,392.8720000,12.4959000,2018-02-14,2018-03,2018-02-15
K2-170 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,12.40004700,,1.802,,,392.8720000,12.4959000,2018-02-14,2018-03,2018-02-15
K2-171 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,5.62846600,,2.687,,,606.1280000,12.4386000,2018-02-14,2018-03,2018-02-15
K2-172 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,14.31694100,,1.666,,,249.7420000,12.2809000,2018-02-14,2018-03,2018-02-15
K2-172 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,29.62682000,,3.206,,,249.7420000,12.2809000,2018-02-14,2018-03,2018-02-15
K2-173 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,5.86869900,,1.608,,,228.6410000,12.1848000,2018-02-14,2018-03,2018-02-15
K2-174 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,19.56230700,0.126000,2.600,,,99.9293000,12.0082000,2019-01-28,2019-03,2019-01-31
K2-175 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,9.52598800,,2.038,,,247.2660000,10.6251000,2018-02-14,2018-03,2018-02-15
K2-176 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,5.32943900,,1.491,,,247.3020000,12.6504000,2018-02-14,2018-03,2018-02-15
K2-177 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,14.15518500,,2.116,,,492.1670000,12.4220000,2018-02-14,2018-03,2018-02-15
K2-178 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.74781800,,3.558,,,214.7530000,12.1562000,2018-02-14,2018-03,2018-02-15
K2-179 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,5.17219100,,2.513,,,190.8100000,12.6910000,2018-02-14,2018-03,2018-02-15
K2-18 b,1,1,2,0,Transit,2015,K2,Published Confirmed,0,32.93962300,0.142900,2.370,8.92000,3.550,38.0266000,12.4154000,2019-03-18,2018-06,2019-03-21
K2-18 c,1,1,2,0,Radial Velocity,2017,La Silla Observatory,Published Confirmed,1,8.96200000,0.060000,,,4.630,38.0266000,12.4154000,2017-12-19,2017-12,2017-12-21
K2-180 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.86566300,0.075600,2.466,11.41004,4.360,203.8960000,12.4039000,2024-11-20,2023-04,2024-11-20
K2-181 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,6.89381300,0.071400,2.836,,,360.9110000,12.5618000,2024-11-20,2023-04,2024-11-20
K2-182 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.73696960,0.051740,2.713,20.97667,9.100,154.8300000,11.7202000,2024-11-20,2023-04,2024-11-20
K2-183 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,0.46928500,,1.100,,,329.0410000,12.6702000,2022-03-28,2021-08,2022-03-28
K2-183 c,1,1,3,0,Transit,2018,K2,Published Confirmed,0,10.78799200,,2.300,,,329.0410000,12.6702000,2022-03-28,2021-08,2022-03-28
K2-183 d,1,1,3,0,Transit,2018,K2,Published Confirmed,0,22.62034400,,2.300,,,329.0410000,12.6702000,2022-03-28,2021-08,2022-03-28
K2-184 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,16.97801020,0.168500,1.470,,,75.5857000,10.1300000,2021-09-20,2022-01,2021-09-20
K2-185 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,10.61638400,,1.150,,,268.3570000,12.0636000,2021-08-30,2021-08,2021-08-30
K2-185 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,52.71349400,,2.390,,,268.3570000,12.0636000,2021-08-23,2021-08,2021-08-23
K2-186 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,41.47421900,,3.172,,,330.7390000,12.1713000,2018-02-14,2018-03,2018-02-15
K2-187 b,1,1,4,0,Transit,2018,K2,Published Confirmed,0,0.77401000,,1.200,,,330.9160000,12.8673000,2022-03-28,2021-08,2022-03-28
K2-187 c,1,1,4,0,Transit,2018,K2,Published Confirmed,0,2.87151200,,1.400,,,330.9160000,12.8673000,2022-03-28,2021-08,2022-03-28
K2-187 d,1,1,4,0,Transit,2018,K2,Published Confirmed,0,7.14958400,,2.400,,,330.9160000,12.8673000,2022-03-28,2021-08,2022-03-28
K2-187 e,1,1,4,0,Transit,2018,K2,Published Confirmed,0,13.60662900,,1.900,,,330.9160000,12.8673000,2022-03-28,2021-08,2022-03-28
K2-188 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,1.74216900,0.028900,1.350,,,446.8210000,12.4903000,2020-03-30,2018-12,2018-10-26
K2-188 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,7.81025300,0.078500,2.830,,,446.8210000,12.4903000,2020-03-30,2018-12,2018-10-26
K2-189 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,2.58830900,0.036100,1.520,,,242.1130000,12.2538000,2018-10-30,2018-12,2018-10-26
K2-189 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,6.67919500,0.068000,2.500,,,242.1130000,12.2538000,2018-10-30,2018-12,2018-10-26
K2-19 b,1,1,3,0,Transit,2015,K2,Published Confirmed,0,7.92220000,,7.000,32.40000,,289.8270000,12.8153000,2022-01-31,2020-01,2022-01-31
K2-19 c,1,1,3,0,Transit,2015,K2,Published Confirmed,0,11.89930000,,4.100,10.80000,,289.8270000,12.8153000,2022-01-31,2020-01,2022-01-31
K2-19 d,1,1,3,0,Transit,2016,K2,Published Confirmed,0,2.50810000,,1.110,10.00000,,289.8270000,12.8153000,2022-01-31,2020-01,2022-01-31
K2-190 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,10.09885800,,1.357,,,160.6790000,10.9586000,2018-02-14,2018-03,2018-02-15
K2-190 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,21.57402300,,1.093,,,160.6790000,10.9586000,2018-02-14,2018-03,2018-02-15
K2-191 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.85864600,,1.579,,,287.1880000,12.9948000,2018-02-14,2018-03,2018-02-15
K2-192 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.16281700,0.049000,1.520,,,221.7530000,12.4500000,2018-10-24,2018-12,2018-10-26
K2-193 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,14.78688900,0.118400,3.950,,,411.9230000,13.0947000,2018-10-24,2018-12,2018-10-26
K2-194 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,39.72138600,,3.642,,,629.5100000,12.8383000,2018-02-14,2018-03,2018-02-15
K2-195 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,15.85297500,0.120800,3.130,,,315.0140000,12.3238000,2018-10-24,2018-12,2018-10-26
K2-195 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,28.48278600,,2.576,,,315.0140000,12.3238000,2018-02-14,2018-03,2018-02-15
K2-196 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,48.32422200,,3.600,,,584.8770000,11.9274000,2018-02-14,2018-03,2018-02-15
K2-197 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.35788100,0.080600,2.560,,,247.6370000,11.9937000,2018-10-24,2018-12,2018-10-26
K2-198 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,17.04286830,,4.189,,,110.5670000,10.9955000,2019-08-09,2019-07,2019-08-15
K2-198 c,1,1,3,0,Transit,2019,K2,Published Confirmed,0,3.35960550,,1.423,,,110.5670000,10.9955000,2019-08-09,2019-07,2019-08-15
K2-198 d,1,1,3,0,Transit,2019,K2,Published Confirmed,0,7.45001770,,2.438,,,110.5670000,10.9955000,2019-08-09,2019-07,2019-08-15
K2-199 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,3.22539930,0.038200,1.730,6.90000,3.800,107.5180000,11.9053000,2022-03-28,2021-12,2022-03-28
K2-199 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,7.37448970,0.066200,2.850,12.40000,5.100,107.5180000,11.9053000,2022-03-28,2021-12,2022-03-28
K2-200 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.84988300,,1.364,,,184.1310000,12.2315000,2018-02-14,2018-03,2018-02-15
K2-201 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,1.05979000,,1.400,,,197.9320000,11.9432000,2018-02-14,2018-03,2018-02-15
K2-201 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,22.77987800,,3.286,,,197.9320000,11.9432000,2018-02-14,2018-03,2018-02-15
K2-2016-BLG-0005L b,1,1,1,0,Microlensing,2023,K2,Published Confirmed,0,4700.00000000,4.160000,,349.61125,,5200.0000000,,2023-05-03,2023-04,2023-05-03
K2-202 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,3.40516400,,2.302,,,300.3970000,13.0435000,2018-02-14,2018-03,2018-02-15
K2-203 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,9.69520000,0.082400,1.265,,,166.1470000,12.1219000,2024-11-20,2023-04,2024-11-20
K2-204 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,7.05590800,0.073800,3.172,,,577.2350000,12.8893000,2024-11-20,2023-04,2024-11-20
K2-205 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,26.67226300,,1.996,,,405.3010000,12.2509000,2018-02-14,2018-03,2018-02-15
K2-206 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,18.29454900,,2.795,,,244.4430000,12.8274000,2018-02-14,2018-03,2018-02-15
K2-207 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,12.48749000,,2.606,,,363.0640000,12.9687000,2018-02-14,2018-03,2018-02-15
K2-208 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.19097000,0.048780,1.675,,,256.8870000,12.3135000,2024-11-20,2023-04,2024-11-20
K2-209 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.08061500,,0.869,,,76.4986000,10.7447000,2018-02-14,2018-03,2018-02-15
K2-21 b,1,1,2,0,Transit,2015,K2,Published Confirmed,0,9.32503800,0.076000,1.840,,,83.6448000,12.2785000,2017-12-12,2017-11,2017-10-26
K2-21 c,1,1,2,0,Transit,2015,K2,Published Confirmed,0,15.50192000,0.107000,2.490,,,83.6448000,12.2785000,2017-12-12,2017-11,2017-10-26
K2-210 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,0.57023000,,0.860,,,176.5100000,11.5845000,2022-03-28,2021-08,2022-03-28
K2-211 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,0.66956100,0.014190,1.332,,,272.2970000,12.9329000,2024-11-20,2023-04,2024-11-20
K2-212 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,9.79564700,,2.650,,,109.2180000,12.5500000,2022-08-23,2021-10,2022-08-23
K2-213 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.13087000,,1.514,,,389.7020000,12.0409000,2018-02-14,2018-03,2018-02-15
K2-214 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.59680200,0.083400,2.430,,,300.6400000,11.5990000,2018-10-24,2018-12,2018-10-26
K2-215 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.26964800,,2.124,,,403.9640000,12.8302000,2018-02-14,2018-03,2018-02-15
K2-216 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.17480000,0.028000,1.750,8.00000,5.000,115.4610000,12.0576000,2018-11-02,2018-10,2018-11-01
K2-217 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,14.07452400,,3.579,,,381.8780000,12.0279000,2018-02-14,2018-03,2018-02-15
K2-218 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.67988500,,2.569,,,394.0830000,12.7137000,2018-02-14,2018-03,2018-02-15
K2-219 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,3.90128700,,1.348,,,325.4000000,11.9110000,2018-02-14,2018-03,2018-02-15
K2-219 c,1,1,3,0,Transit,2018,K2,Published Confirmed,0,6.66767000,,1.438,,,325.4000000,11.9110000,2018-02-14,2018-03,2018-02-15
K2-219 d,1,1,3,0,Transit,2018,K2,Published Confirmed,0,11.13727800,,2.576,,,325.4000000,11.9110000,2018-02-14,2018-03,2018-02-15
K2-22 b,1,2,1,0,Transit,2015,K2,Published Confirmed,0,0.38107300,,2.300,,,243.8360000,14.9537000,2022-03-28,2021-08,2022-03-28
K2-220 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,13.68325600,0.110400,2.390,,,233.5140000,11.7214000,2018-10-24,2018-12,2018-10-26
K2-221 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.39909400,,1.679,,,318.8100000,12.4149000,2018-02-14,2018-03,2018-02-15
K2-222 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,15.38857000,0.120600,2.350,8.70000,2.290,101.3210000,9.3607200,2023-04-17,2023-04,2023-04-17
K2-223 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,0.50557000,,0.890,,,198.6040000,11.2736000,2022-03-28,2021-08,2022-03-28
K2-223 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,4.56254600,,1.500,,,198.6040000,11.2736000,2022-03-28,2021-08,2022-03-28
K2-224 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,4.47904000,0.051600,1.560,,,275.2550000,12.5216000,2022-06-08,2018-08,2022-06-08
K2-224 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,10.09489000,0.088600,2.410,,,275.2550000,12.5216000,2022-06-08,2018-08,2022-06-08
K2-225 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,15.87230000,0.140900,3.609,,,357.7780000,11.5203000,2024-11-20,2023-04,2024-11-20
K2-226 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,3.27109000,0.040950,1.539,,,211.2650000,12.0917000,2024-11-20,2023-04,2024-11-20
K2-227 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,13.62183200,,1.666,,,187.2340000,11.4954000,2018-02-14,2018-03,2018-02-15
K2-228 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.69828000,0.033800,1.210,,,129.4600000,12.6527000,2022-06-08,2018-08,2022-06-08
K2-229 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,0.58421600,,1.000,,,102.5640000,10.7861000,2022-03-28,2021-08,2022-03-28
K2-229 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,8.32727000,0.076900,2.030,,,102.5640000,10.7861000,2022-06-08,2018-08,2022-06-08
K2-230 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.86041000,0.040900,1.960,,,540.7730000,12.5751000,2022-03-28,2018-08,2022-03-28
K2-231 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,13.84190100,,2.500,,,321.2150000,12.5593000,2018-04-04,2018-04,2018-04-05
K2-232 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,11.16845400,0.103560,11.209,126.49634,33.420,130.7200000,9.7262600,2018-04-04,2018-06,2018-04-05
K2-233 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,2.46750000,0.033080,1.343,11.26000,6.270,67.5062000,10.4191000,2021-05-17,2020-08,2021-05-17
K2-233 c,1,1,3,0,Transit,2018,K2,Published Confirmed,0,7.06005000,0.066660,1.281,12.81000,5.020,67.5062000,10.4191000,2021-05-17,2020-08,2021-05-17
K2-233 d,1,1,3,0,Transit,2018,K2,Published Confirmed,0,24.36450000,0.152240,2.358,21.14000,5.450,67.5062000,10.4191000,2021-05-17,2020-08,2021-05-17
K2-237 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.18053332,0.035520,16.062,434.15360,184.000,314.9950000,11.4668000,2024-11-20,2023-04,2024-11-20
K2-238 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,3.20466000,0.046000,14.572,273.33380,100.000,537.9630000,13.6635000,2018-06-26,2018-08,2018-06-21
K2-239 b,1,1,3,0,Transit,2018,K2,Published Confirmed,0,5.24000000,0.044100,1.100,,,31.0849000,13.4367000,2018-06-26,2018-10,2018-06-21
K2-239 c,1,1,3,0,Transit,2018,K2,Published Confirmed,0,7.77500000,0.057600,1.000,,,31.0849000,13.4367000,2018-06-26,2018-10,2018-06-21
K2-239 d,1,1,3,0,Transit,2018,K2,Published Confirmed,0,10.11500000,0.068500,1.100,,,31.0849000,13.4367000,2018-06-26,2018-10,2018-06-21
K2-24 b,1,1,2,0,Transit,2016,K2,Published Confirmed,0,20.88977000,,5.400,19.00000,,170.5620000,10.9072000,2018-12-10,2018-09,2018-12-13
K2-24 c,1,1,2,0,Transit,2016,K2,Published Confirmed,0,42.33910000,,7.500,15.40000,,170.5620000,10.9072000,2018-12-10,2018-09,2018-12-13
K2-240 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,6.03400000,0.051300,2.000,,,72.9105000,12.6212000,2018-06-26,2018-10,2018-06-21
K2-240 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,20.52300000,0.115900,1.800,,,72.9105000,12.6212000,2018-06-26,2018-10,2018-06-21
K2-241 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,26.81990000,0.156700,2.550,,,149.4640000,11.7562000,2022-03-28,2018-08,2022-03-28
K2-242 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,6.51389000,0.049400,2.540,,,109.2370000,15.3818000,2022-03-28,2018-08,2022-03-28
K2-243 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,11.54182000,0.108700,2.170,,,266.8640000,10.7424000,2022-03-28,2018-08,2022-03-28
K2-243 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,24.94598000,0.181700,2.010,,,266.8640000,10.7424000,2022-03-28,2018-08,2022-03-28
K2-244 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,21.06884000,0.141800,1.750,,,212.9020000,11.6317000,2022-03-28,2018-08,2022-03-28
K2-245 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,11.89307000,0.095900,4.340,,,456.0640000,12.5639000,2022-03-28,2018-08,2022-03-28
K2-246 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,5.76918000,0.060200,3.490,,,703.6160000,14.3512000,2022-03-28,2018-08,2022-03-28
K2-247 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,2.25021000,0.030400,2.120,,,258.1130000,14.3583000,2022-03-28,2018-08,2022-03-28
K2-247 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,6.49424000,0.061500,2.190,,,258.1130000,14.3583000,2022-03-28,2018-08,2022-03-28
K2-248 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,7.17256000,0.069900,2.570,,,406.2540000,13.2616000,2022-03-28,2018-08,2022-03-28
K2-249 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,12.40900000,0.115100,2.790,,,521.7160000,12.4497000,2022-03-28,2018-08,2022-03-28
K2-25 b,1,1,1,0,Transit,2015,K2,Published Confirmed,0,3.48456408,0.028700,3.440,24.50000,27.900,44.9565000,14.3817000,2022-03-28,2020-10,2022-03-28
K2-250 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.01392000,0.046060,2.713,,,414.7080000,13.9725000,2024-11-20,2023-04,2024-11-20
K2-251 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,9.30075000,0.069400,2.350,,,147.0300000,14.7702000,2022-03-28,2018-08,2022-03-28
K2-252 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,13.81513000,0.104100,1.740,,,228.8390000,12.6201000,2022-03-28,2018-08,2022-03-28
K2-253 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.00167000,0.050600,12.670,,,876.5650000,14.7042000,2022-03-28,2018-08,2022-03-28
K2-254 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,4.09639000,0.044800,1.630,,,227.7750000,13.7427000,2022-03-28,2018-08,2022-03-28
K2-254 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,12.11839000,0.092300,2.190,,,227.7750000,13.7427000,2022-03-28,2018-08,2022-03-28
K2-255 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,1.96417000,0.027400,2.900,,,191.6080000,13.3087000,2022-03-28,2018-08,2022-03-28
K2-257 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,1.60588000,0.021600,0.830,,,64.0065000,12.8602000,2022-03-28,2018-08,2022-03-28
K2-258 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,19.09210000,0.149000,3.000,,,661.8730000,13.1388000,2022-03-28,2018-08,2022-03-28
K2-259 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,15.48043000,0.127100,2.320,,,416.4570000,12.3750000,2022-03-28,2018-08,2022-03-28
K2-26 b,1,1,1,0,Transit,2016,K2,Published Confirmed,0,14.56650000,0.096200,2.670,,,99.0504000,13.7519000,2016-01-20,2016-02,2016-01-21
K2-260 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,2.62669762,0.043920,18.416,546.66486,182.000,663.8340000,12.4667000,2024-11-20,2023-04,2024-11-20
K2-261 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,11.63346810,0.108600,9.270,68.96876,17.400,213.2830000,10.4594000,2024-11-20,2023-04,2024-11-20
K2-263 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,50.81894700,0.257300,2.410,14.90000,2.830,162.4810000,11.4055000,2023-04-17,2023-04,2023-04-17
K2-264 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,5.84000200,0.050230,2.231,,,185.6050000,15.6625000,2019-02-05,2019-03,2019-02-07
K2-264 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,19.66030200,0.112830,2.668,,,185.6050000,15.6625000,2019-02-05,2019-03,2019-02-07
K2-265 b,1,2,1,0,Transit,2018,K2,Published Confirmed,0,2.36902000,0.033590,1.708,7.34184,3.870,138.6710000,10.9277000,2024-11-20,2023-04,2024-11-20
K2-266 b,1,2,4,0,Transit,2018,K2,Published Confirmed,0,0.65852400,0.013060,3.300,,,77.5586000,11.3527000,2022-10-31,2018-11,2022-10-31
K2-266 c,1,2,4,0,Transit,2018,K2,Published Confirmed,0,7.81400000,0.067900,0.705,,,77.5586000,11.3527000,2022-10-31,2018-11,2022-10-31
K2-266 d,1,2,4,0,Transit,2018,K2,Published Confirmed,0,14.69700000,0.103500,2.930,8.90000,,77.5586000,11.3527000,2022-10-31,2018-11,2022-10-31
K2-266 e,1,2,4,0,Transit,2018,K2,Published Confirmed,0,19.48200000,0.124900,2.730,14.30000,,77.5586000,11.3527000,2022-10-31,2018-11,2022-10-31
K2-268 b,1,1,5,0,Transit,2018,K2,Published Confirmed,0,2.15167600,,1.500,,,327.7830000,13.5627000,2021-08-30,2021-08,2021-08-30
K2-268 c,1,1,5,0,Transit,2018,K2,Published Confirmed,0,9.32752700,,2.690,,,327.7830000,13.5627000,2021-08-30,2021-08,2021-08-30
K2-268 d,1,1,5,0,Transit,2021,K2,Published Confirmed,0,4.52859800,,1.490,,,327.7830000,13.5627000,2021-08-23,2021-08,2021-08-23
K2-268 e,1,1,5,0,Transit,2021,K2,Published Confirmed,0,6.13124300,,1.330,,,327.7830000,13.5627000,2021-08-23,2021-08,2021-08-23
K2-268 f,1,1,5,0,Transit,2021,K2,Published Confirmed,0,26.27057000,,2.230,,,327.7830000,13.5627000,2021-08-23,2021-08,2021-08-23
K2-269 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,4.14496500,0.053100,1.570,,,360.7600000,11.3770000,2018-10-24,2018-12,2018-10-26
K2-27 b,1,3,1,0,Transit,2016,K2,Published Confirmed,0,6.77131500,0.067020,4.480,30.90000,11.800,249.6450000,12.4528000,2017-02-08,2017-04,2017-02-09
K2-270 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,1.54306900,0.024700,1.380,,,280.5180000,13.4701000,2018-10-24,2018-12,2018-10-26
K2-270 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,4.40002800,0.049700,2.950,,,280.5180000,13.4701000,2018-10-24,2018-12,2018-10-26
K2-271 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,8.56242100,0.077000,7.280,,,564.4540000,13.6582000,2018-10-24,2018-12,2018-10-26
K2-272 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,14.45367560,0.100700,3.130,,,423.0650000,13.6668000,2021-09-20,2022-01,2021-09-20
K2-273 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,11.71956630,0.072900,3.050,,,308.1050000,13.1461000,2021-09-20,2022-01,2021-09-20
K2-274 b,1,1,1,0,Transit,2018,K2,Published Confirmed,0,14.13303140,0.096400,2.080,,,228.3270000,12.8852000,2021-09-20,2022-01,2021-09-20
K2-275 b,1,1,2,0,Transit,2018,K2,Published Confirmed,0,3.28096260,0.027700,2.340,,,123.4380000,11.8139000,2021-09-20,2022-01,2021-09-20
K2-275 c,1,1,2,0,Transit,2018,K2,Published Confirmed,0,8.43883850,0.088100,2.210,,,123.4380000,11.8139000,2021-09-20,2022-01,2021-09-20
